Chapter,Lesson,Video ID,YouTube URL,Current Duration Listed
Chapter 1,Welcome to Omni Analytics,HMm8pTfeipI,https://www.youtube.com/watch?v=HMm8pTfeipI,13 min
Chapter 1,Comprehensive Platform Overview,9GduXHYYGbU,https://www.youtube.com/watch?v=9GduXHYYGbU,10 min
Chapter 1,Data-Driven Business Intelligence,jJN_tfbp078,https://www.youtube.com/watch?v=jJN_tfbp078,5 min
Chapter 1,Essential Analytics Features Overview,TPylic8mr6E,https://www.youtube.com/watch?v=TPylic8mr6E,5 min
Chapter 1,AI-Semantic Analytics Overview,Z8G2culbFWs,https://www.youtube.com/watch?v=Z8G2culbFWs,21 min
Chapter 1,Enterprise Analytics Capabilities,YdTuhEpFrWU,https://www.youtube.com/watch?v=YdTuhEpFrWU,3 min
Chapter 2,Data Connection Fundamentals,m5CnfB9Vb90,https://www.youtube.com/watch?v=m5CnfB9Vb90,2 min
Chapter 2,Just-in-Time Data Modeling,nmNG81KWpxA,https://www.youtube.com/watch?v=nmNG81KWpxA,10 min
Chapter 2,Semantic Layer and Business Logic,XWkhKirKQHU,https://www.youtube.com/watch?v=XWkhKirKQHU,10 min
Chapter 2,Advanced Data Modeling Techniques,3YWD7s2dLq0,https://www.youtube.com/watch?v=3YWD7s2dLq0,19 min
Chapter 2,Comprehensive dbt Integration and Workflows,l_FQFzPWQYU,https://www.youtube.com/watch?v=l_FQFzPWQYU,7 min
Chapter 2,Advanced Model Organization with Topic Files,X16GlvGOljQ,https://www.youtube.com/watch?v=X16GlvGOljQ,12 min
Chapter 2,Enterprise Security and Governance,LeM5NmVWq9Y,https://www.youtube.com/watch?v=LeM5NmVWq9Y,6 min
Chapter 3,AI-Powered Natural Language Querying,Rx5sp0wO5X0,https://www.youtube.com/watch?v=Rx5sp0wO5X0,1 min
Chapter 3,Excel Calculations Masterclass with AI,lSKdOnWj9CE,https://www.youtube.com/watch?v=lSKdOnWj9CE,41 min
Chapter 3,Quick Excel Calculations and Statistical Analysis,MuwReSb3JVQ,https://www.youtube.com/watch?v=MuwReSb3JVQ,1 min
Chapter 3,Advanced SQL Experience,qh1ZfmjwoL4,https://www.youtube.com/watch?v=qh1ZfmjwoL4,4 min
Chapter 3,Point-and-Click Power Features,I1Y6_QK51YA,https://www.youtube.com/watch?v=I1Y6_QK51YA,2 min
Chapter 3,Advanced Query Patterns and Techniques,e7dWWsZk4gc,https://www.youtube.com/watch?v=e7dWWsZk4gc,3 min
Chapter 3,AI Query Optimization and Filtering,8sq0WWnfsYo,https://www.youtube.com/watch?v=8sq0WWnfsYo,8 min
Chapter 3,Data Parsing and JSON Extraction,XdRGFC5tc50,https://www.youtube.com/watch?v=XdRGFC5tc50,1 min
Chapter 4,Building Data Products in 30 Minutes,4XRgDRv9SRM,https://www.youtube.com/watch?v=4XRgDRv9SRM,29 min
Chapter 4,Advanced Visualization Mastery,ku6sP0ELz3o,https://www.youtube.com/watch?v=ku6sP0ELz3o,12 min
Chapter 4,Professional Dashboard Design and Layout,auAh3My5lPg,https://www.youtube.com/watch?v=auAh3My5lPg,5 min
Chapter 4,Interactive Dashboard Features and Drilling,eVaNo2jbtT0,https://www.youtube.com/watch?v=eVaNo2jbtT0,9 min
Chapter 4,KPI and Executive Dashboard Creation,J-W0eBVZaAw,https://www.youtube.com/watch?v=J-W0eBVZaAw,1 min
Chapter 4,Custom and Advanced Visualizations,8GamRZOenBU,https://www.youtube.com/watch?v=8GamRZOenBU,3 min
Chapter 4,Geographic Mapping and Spatial Analysis,sUknsrzDBiY,https://www.youtube.com/watch?v=sUknsrzDBiY,7 min
Chapter 4,AI-Powered Text-to-Visualization,U_UEBTUtnSc,https://www.youtube.com/watch?v=U_UEBTUtnSc,9 min
Chapter 5,AI Chat and Conversational Analytics,OniK0ZSpgFY,https://www.youtube.com/watch?v=OniK0ZSpgFY,7 min
Chapter 5,MCP Server and AI Integration Workflows,maxp_uZVib0,https://www.youtube.com/watch?v=maxp_uZVib0,8 min
Chapter 5,AI-Powered Formula Creation and Analysis,mKNgxEiRP-c,https://www.youtube.com/watch?v=mKNgxEiRP-c,1 min
Chapter 5,AI Summary and Visualization Analysis,4yVxD6mNwc8,https://www.youtube.com/watch?v=4yVxD6mNwc8,8 min
Chapter 5,Snowflake Cortex AI Integration,ehKGePC3xWM,https://www.youtube.com/watch?v=ehKGePC3xWM,12 min
Chapter 5,Additional Snowflake Cortex Tools,CAdJNVVZ6bs,https://www.youtube.com/watch?v=CAdJNVVZ6bs,4 min
Chapter 5,Embedded AI for Customer Analytics,Affnlvvjubk,https://www.youtube.com/watch?v=Affnlvvjubk,1 min
Chapter 5,CSV Upload with AI Analysis,5G0Nth904qQ,https://www.youtube.com/watch?v=5G0Nth904qQ,15 min
Chapter 6,Comprehensive Embedded Analytics Strategy,ShTn0RwMZng,https://www.youtube.com/watch?v=ShTn0RwMZng,2 min
Chapter 6,High-Performance Embedded Dashboards,WoP5BOA4q0I,https://www.youtube.com/watch?v=WoP5BOA4q0I,5 min
Chapter 6,Embedded Workbook Experiences,4TkKEt45T88,https://www.youtube.com/watch?v=4TkKEt45T88,2 min
Chapter 6,Content Organization and Team Collaboration,B29l43aTbEs,https://www.youtube.com/watch?v=B29l43aTbEs,10 min
Chapter 6,Automated Slack Integration and Delivery,qJ5EtxDISlA,https://www.youtube.com/watch?v=qJ5EtxDISlA,9 min
Chapter 6,Enterprise Data Delivery Systems,ZfidI0-EhaY,https://www.youtube.com/watch?v=ZfidI0-EhaY,4 min
Chapter 6,Embedded Authentication and Security,aNXq4AhuAVg,https://www.youtube.com/watch?v=aNXq4AhuAVg,8 min
Chapter 6,Customer Self-Service Analytics Creation,FvSf9GhuU4Y,https://www.youtube.com/watch?v=FvSf9GhuU4Y,1 min
Chapter 7,Dynamic dbt Environments and Schema Testing,yES0ijO3Co0,https://www.youtube.com/watch?v=yES0ijO3Co0,3 min
Chapter 7,Enterprise Git Workflows and Pull Requests,VZgSkHd5C9E,https://www.youtube.com/watch?v=VZgSkHd5C9E,9 min
Chapter 7,Advanced Branch Mode Development,Yz6aKy_GF6c,https://www.youtube.com/watch?v=Yz6aKy_GF6c,4 min
Chapter 7,Model IDE and Direct dbt Editing,oytmsSdWV9o,https://www.youtube.com/watch?v=oytmsSdWV9o,5 min
Chapter 7,API Development and Model Automation,gTZzyt1I9_w,https://www.youtube.com/watch?v=gTZzyt1I9_w,6 min
Chapter 7,Seamless Change Management and Content Validation,LvhoOr3vQwY,https://www.youtube.com/watch?v=LvhoOr3vQwY,3 min
Chapter 7,Advanced View Organization in Topics,CTYR30-tKps,https://www.youtube.com/watch?v=CTYR30-tKps,14 min
Chapter 7,Snowflake Native App Integration,RSxX21T-CNg,https://www.youtube.com/watch?v=RSxX21T-CNg,6 min
Chapter 8,Rose Rocket Customer Success Story,axaHrmXGxEQ,https://www.youtube.com/watch?v=axaHrmXGxEQ,2 min
Chapter 8,Customer Success: Front and Snowflake Partnership,Agw9j14kosg,https://www.youtube.com/watch?v=Agw9j14kosg,24 min
Chapter 8,Sales Commission Tracking Application,tKBP9eNQeQ8,https://www.youtube.com/watch?v=tKBP9eNQeQ8,4 min
Chapter 8,Revenue Operations and Sales Analytics,VSa2W_rUV1M,https://www.youtube.com/watch?v=VSa2W_rUV1M,18 min
Chapter 8,Financial and Operational Analytics,RPtbqA92zj0,https://www.youtube.com/watch?v=RPtbqA92zj0,6 min
Chapter 8,2024 Product Highlights: Real-World Impact,9egsI-YLwEM,https://www.youtube.com/watch?v=9egsI-YLwEM,32 min
Chapter 8,Modern Data Stack Discussion,vBMUsotU8yk,https://www.youtube.com/watch?v=vBMUsotU8yk,20 min 